call_id,vendor_id,timezone,event_at,vendor_timezone,timezone_conflict
CALL0000055,VND0000015,UTC,2026-05-25 00:30:29,Asia/Kolkata,True
CALL0000056,VND0000008,Asia/Kolkata,2026-05-06 18:18:42,Asia/Kolkata,False
CALL0000057,VND0000009,Asia/Dubai,2026-04-11 19:47:42,Asia/Kolkata,True
CALL0000058,VND0000008,UTC,2026-03-25 11:39:26,Asia/Kolkata,True
CALL0000059,VND0000007,UTC,2026-08-06 11:12:55,UTC,False
CALL0000060,VND0000015,UTC,2026-01-02 05:37:04,Asia/Kolkata,True
CALL0000061,VND0000015,UTC,2026-03-19 23:25:59,Asia/Kolkata,True
CALL0000062,VND0000006,Asia/Kolkata,2026-05-07 16:03:49,UTC,True
CALL0000063,VND0000013,Asia/Kolkata,2026-04-16 05:42:32,Asia/Kolkata,False
CALL0000064,VND0000014,Asia/Kolkata,2026-07-27 19:51:14,Asia/Kolkata,False
CALL0000065,VND0000011,UTC,2026-04-11 10:42:48,UTC,False
CALL0000066,VND0000004,Asia/Kolkata,2026-06-23 10:00:47,UTC,True
CALL0000067,VND0000007,UTC,2026-04-12 02:24:40,UTC,False
CALL0000068,VND0000011,Asia/Kolkata,2026-05-30 09:33:56,UTC,True
CALL0000069,VND0000002,UTC,2026-06-25 12:47:19,UTC,False
CALL0000070,VND0000006,UTC,2026-04-07 17:35:41,UTC,False
CALL0000071,VND0000001,Asia/Kolkata,2026-06-19 15:06:39,Asia/Kolkata,False
CALL0000072,VND0000007,UTC,2026-04-12 16:38:52,UTC,False
CALL0000073,VND0000004,Asia/Kolkata,2026-04-08 05:17:48,UTC,True
CALL0000074,VND0000015,Asia/Kolkata,2026-02-21 10:27:09,Asia/Kolkata,False
CALL0000075,VND0000009,UTC,2026-07-21 05:41:21,Asia/Kolkata,True
CALL0000076,VND0000012,UTC,2026-04-23 15:42:33,UTC,False
CALL0000077,VND0000002,UTC,2026-05-21 21:54:44,UTC,False
CALL0000078,VND0000008,Asia/Dubai,2026-06-03 18:45:40,Asia/Kolkata,True
CALL0000079,VND0000003,Asia/Dubai,2026-02-05 15:07:45,UTC,True
CALL0000080,VND0000014,Asia/Kolkata,2026-06-08 16:13:05,Asia/Kolkata,False
CALL0000081,VND0000001,Asia/Dubai,2026-07-04 12:19:21,Asia/Kolkata,True
CALL0000082,VND0000012,Asia/Dubai,2026-04-12 15:01:57,UTC,True
CALL0000083,VND0000003,UTC,2026-05-28 16:43:53,UTC,False
CALL0000084,VND0000007,Asia/Kolkata,2026-03-15 08:14:35,UTC,True
CALL0000085,VND0000002,Asia/Dubai,2026-05-15 11:18:16,UTC,True
CALL0000086,VND0000011,Asia/Dubai,2026-02-17 04:13:05,UTC,True
CALL0000087,VND0000005,UTC,2026-07-30 00:43:56,Asia/Kolkata,True
CALL0000088,VND0000004,Asia/Kolkata,2026-06-16 03:06:13,UTC,True
CALL0000089,VND0000002,Asia/Kolkata,2026-03-05 02:12:42,UTC,True
CALL0000090,VND0000008,Asia/Dubai,2026-07-22 04:46:37,Asia/Kolkata,True
CALL0000091,VND0000003,Asia/Dubai,2026-05-04 10:26:13,UTC,True
CALL0000092,VND0000004,UTC,2026-05-18 16:41:34,UTC,False
CALL0000093,VND0000009,Asia/Dubai,2026-01-10 10:03:51,Asia/Kolkata,True
CALL0000094,VND0000006,Asia/Dubai,2026-01-13 04:27:05,UTC,True
CALL0000095,VND0000007,UTC,2026-05-01 07:21:43,UTC,False
CALL0000096,VND0000001,UTC,2026-03-18 09:49:36,Asia/Kolkata,True
CALL0000097,VND0000011,Asia/Dubai,2026-01-26 15:40:38,UTC,True
CALL0000098,VND0000011,Asia/Dubai,2026-05-21 02:31:30,UTC,True
CALL0000099,VND0000014,UTC,2026-07-23 01:40:59,Asia/Kolkata,True
CALL0000100,VND0000010,Asia/Dubai,2026-03-16 15:48:37,UTC,True
CALL0000101,VND0000002,Asia/Kolkata,2026-02-26 14:09:01,UTC,True
CALL0000102,VND0000014,Asia/Kolkata,2026-07-13 14:46:02,Asia/Kolkata,False
CALL0000103,VND0000008,Asia/Dubai,2026-01-24 22:24:27,Asia/Kolkata,True
CALL0000104,VND0000015,UTC,2026-07-10 11:04:22,Asia/Kolkata,True
CALL0000105,VND0000006,Asia/Kolkata,2026-01-28 22:45:15,UTC,True
CALL0000106,VND0000003,UTC,2026-01-08 12:48:00,UTC,False
CALL0000107,VND0000011,Asia/Dubai,2026-07-15 18:50:58,UTC,True
CALL0000108,VND0000004,Asia/Dubai,2026-01-20 07:50:44,UTC,True
CALL0000109,VND0000006,Asia/Dubai,2026-01-15 23:31:44,UTC,True
CALL0000110,VND0000005,Asia/Kolkata,2026-03-31 14:51:23,Asia/Kolkata,False
CALL0000111,VND0000015,Asia/Kolkata,2026-08-05 19:54:22,Asia/Kolkata,False
CALL0000112,VND0000003,Asia/Kolkata,2026-03-12 22:35:34,UTC,True
CALL0000113,VND0000002,Asia/Kolkata,2026-01-04 05:20:26,UTC,True
CALL0000114,VND0000011,UTC,2026-01-26 22:09:36,UTC,False
CALL0000115,VND0000008,Asia/Dubai,2026-06-16 10:01:54,Asia/Kolkata,True
CALL0000116,VND0000009,Asia/Dubai,2026-01-05 15:15:46,Asia/Kolkata,True
CALL0000117,VND0000013,Asia/Kolkata,2026-06-17 23:47:41,Asia/Kolkata,False
CALL0000118,VND0000012,Asia/Dubai,2026-05-21 20:50:25,UTC,True
CALL0000119,VND0000014,UTC,2026-01-14 19:16:34,Asia/Kolkata,True
CALL0000120,VND0000015,UTC,2026-02-16 17:08:55,Asia/Kolkata,True
CALL0000121,VND0000011,Asia/Dubai,2026-07-19 17:20:22,UTC,True
CALL0000122,VND0000005,UTC,2026-02-13 17:08:05,Asia/Kolkata,True
CALL0000123,VND0000008,Asia/Dubai,2026-06-30 17:35:19,Asia/Kolkata,True
CALL0000124,VND0000012,Asia/Kolkata,2026-03-19 05:39:18,UTC,True
CALL0000125,VND0000005,UTC,2026-05-21 00:31:38,Asia/Kolkata,True
CALL0000126,VND0000005,Asia/Kolkata,2026-02-20 01:46:43,Asia/Kolkata,False
CALL0000127,VND0000004,UTC,2026-03-09 02:45:31,UTC,False
CALL0000128,VND0000002,Asia/Dubai,2026-02-22 10:02:26,UTC,True
CALL0000129,VND0000008,UTC,2026-07-05 03:17:41,Asia/Kolkata,True
CALL0000130,VND0000004,Asia/Dubai,2026-02-03 04:16:40,UTC,True
CALL0000131,VND0000013,UTC,2026-06-06 11:15:27,Asia/Kolkata,True
CALL0000132,VND0000009,Asia/Kolkata,2026-03-21 17:22:41,Asia/Kolkata,False
CALL0000133,VND0000006,Asia/Dubai,2026-02-21 06:01:43,UTC,True
CALL0000134,VND0000004,Asia/Kolkata,2026-04-20 19:42:33,UTC,True
CALL0000135,VND0000012,Asia/Kolkata,2026-05-12 13:23:37,UTC,True
CALL0000136,VND0000009,UTC,2026-01-16 16:07:36,Asia/Kolkata,True
CALL0000137,VND0000004,Asia/Kolkata,2026-01-21 17:57:28,UTC,True
CALL0000138,VND0000008,Asia/Dubai,2026-05-03 18:05:16,Asia/Kolkata,True
CALL0000139,VND0000005,UTC,2026-04-16 01:56:57,Asia/Kolkata,True
CALL0000140,VND0000009,Asia/Kolkata,2026-01-24 14:35:13,Asia/Kolkata,False
CALL0000141,VND0000003,UTC,2026-03-28 15:37:12,UTC,False
CALL0000142,VND0000002,Asia/Kolkata,2026-07-13 01:27:36,UTC,True
CALL0000143,VND0000002,Asia/Dubai,2026-07-23 09:46:34,UTC,True
CALL0000144,VND0000013,Asia/Dubai,2026-06-27 00:13:46,Asia/Kolkata,True
CALL0000145,VND0000002,UTC,2026-04-22 09:09:56,UTC,False
CALL0000146,VND0000014,Asia/Dubai,2026-05-23 06:22:32,Asia/Kolkata,True
CALL0000147,VND0000011,UTC,2026-05-07 11:24:15,UTC,False
CALL0000148,VND0000002,Asia/Kolkata,2026-06-15 17:57:54,UTC,True
CALL0000149,VND0000013,Asia/Kolkata,2026-06-29 17:57:37,Asia/Kolkata,False
CALL0000150,VND0000011,UTC,2026-04-22 08:03:51,UTC,False
CALL0000151,VND0000004,UTC,2026-05-29 11:13:51,UTC,False
CALL0000152,VND0000015,UTC,2026-05-30 13:44:04,Asia/Kolkata,True
CALL0000153,VND0000002,Asia/Dubai,2026-03-12 18:21:07,UTC,True
CALL0000154,VND0000008,Asia/Kolkata,2026-02-25 19:08:19,Asia/Kolkata,False
CALL0000155,VND0000015,Asia/Dubai,2026-07-25 22:43:28,Asia/Kolkata,True
CALL0000156,VND0000013,UTC,2026-07-26 15:23:39,Asia/Kolkata,True
CALL0000157,VND0000004,Asia/Dubai,2026-02-07 21:32:43,UTC,True
CALL0000158,VND0000011,Asia/Dubai,2026-04-29 20:48:06,UTC,True
CALL0000159,VND0000003,Asia/Dubai,2026-02-12 18:42:17,UTC,True
CALL0000160,VND0000014,Asia/Kolkata,2026-03-29 23:37:15,Asia/Kolkata,False
CALL0000161,VND0000014,Asia/Kolkata,2026-06-24 11:34:39,Asia/Kolkata,False
CALL0000162,VND0000004,UTC,2026-07-07 06:34:54,UTC,False
CALL0000163,VND0000012,Asia/Kolkata,2026-03-23 18:07:34,UTC,True
CALL0000164,VND0000011,Asia/Kolkata,2026-07-30 16:37:33,UTC,True
CALL0000165,VND0000009,Asia/Dubai,2026-04-10 09:29:09,Asia/Kolkata,True
CALL0000166,VND0000007,UTC,2026-06-25 19:35:45,UTC,False
CALL0000167,VND0000003,UTC,2026-06-07 19:11:38,UTC,False
CALL0000168,VND0000006,UTC,2026-03-15 17:41:13,UTC,False
CALL0000169,VND0000012,Asia/Dubai,2026-07-26 08:29:53,UTC,True
CALL0000170,VND0000001,UTC,2026-01-19 13:34:43,Asia/Kolkata,True
CALL0000171,VND0000006,UTC,2026-02-27 00:25:36,UTC,False
CALL0000172,VND0000009,Asia/Dubai,2026-01-17 14:43:02,Asia/Kolkata,True
CALL0000173,VND0000013,Asia/Kolkata,2026-07-09 09:54:00,Asia/Kolkata,False
CALL0000174,VND0000005,Asia/Dubai,2026-06-07 21:25:21,Asia/Kolkata,True
CALL0000175,VND0000011,UTC,2026-06-09 13:29:35,UTC,False
CALL0000176,VND0000006,UTC,2026-02-13 05:30:07,UTC,False
CALL0000177,VND0000008,Asia/Dubai,2026-05-27 10:48:07,Asia/Kolkata,True
CALL0000178,VND0000003,UTC,2026-08-04 03:39:40,UTC,False
CALL0000179,VND0000014,UTC,2026-06-28 23:48:30,Asia/Kolkata,True
CALL0000180,VND0000001,UTC,2026-06-20 13:24:27,Asia/Kolkata,True
CALL0000181,VND0000002,Asia/Kolkata,2026-05-27 04:35:43,UTC,True
CALL0000182,VND0000011,Asia/Kolkata,2026-06-11 23:42:31,UTC,True
CALL0000183,VND0000004,UTC,2026-05-16 07:43:54,UTC,False
CALL0000184,VND0000002,Asia/Kolkata,2026-06-07 09:29:50,UTC,True
CALL0000185,VND0000003,Asia/Dubai,2026-08-05 21:05:18,UTC,True
CALL0000186,VND0000014,Asia/Dubai,2026-06-02 07:10:39,Asia/Kolkata,True
CALL0000187,VND0000008,Asia/Kolkata,2026-01-23 22:48:57,Asia/Kolkata,False
CALL0000188,VND0000015,Asia/Kolkata,2026-02-28 23:00:15,Asia/Kolkata,False
CALL0000189,VND0000012,Asia/Dubai,2026-02-15 14:18:44,UTC,True
CALL0000190,VND0000008,Asia/Dubai,2026-07-04 06:25:32,Asia/Kolkata,True
CALL0000191,VND0000014,UTC,2026-06-23 02:32:19,Asia/Kolkata,True
CALL0000192,VND0000004,UTC,2026-04-14 07:52:11,UTC,False
CALL0000193,VND0000014,UTC,2026-07-10 00:40:25,Asia/Kolkata,True
CALL0000194,VND0000004,UTC,2026-01-13 14:33:25,UTC,False
CALL0000195,VND0000002,Asia/Dubai,2026-02-04 05:44:37,UTC,True
CALL0000196,VND0000009,Asia/Dubai,2026-01-26 23:03:13,Asia/Kolkata,True
CALL0000197,VND0000015,Asia/Kolkata,2026-03-22 16:54:18,Asia/Kolkata,False
CALL0000198,VND0000001,Asia/Kolkata,2026-06-03 20:38:29,Asia/Kolkata,False
CALL0000199,VND0000011,Asia/Kolkata,2026-07-31 00:27:39,UTC,True
CALL0000200,VND0000011,UTC,2026-05-04 18:56:13,UTC,False
CALL0000201,VND0000003,UTC,2026-01-27 09:39:40,UTC,False
CALL0000202,VND0000012,Asia/Dubai,2026-07-21 04:15:52,UTC,True
CALL0000203,VND0000010,UTC,2026-04-12 22:56:07,UTC,False
CALL0000204,VND0000009,UTC,2026-07-24 18:16:55,Asia/Kolkata,True
CALL0000205,VND0000012,Asia/Dubai,2026-06-15 05:49:54,UTC,True
CALL0000206,VND0000004,Asia/Kolkata,2026-03-25 20:16:01,UTC,True
CALL0000207,VND0000004,Asia/Dubai,2026-04-23 13:12:37,UTC,True
CALL0000208,VND0000012,UTC,2026-06-09 03:51:16,UTC,False
CALL0000209,VND0000002,Asia/Dubai,2026-02-01 21:02:42,UTC,True
CALL0000210,VND0000009,Asia/Dubai,2026-06-07 10:00:20,Asia/Kolkata,True
CALL0000211,VND0000014,UTC,2026-02-21 02:29:25,Asia/Kolkata,True
CALL0000212,VND0000004,Asia/Dubai,2026-06-25 21:16:55,UTC,True
CALL0000213,VND0000004,Asia/Kolkata,2026-06-12 19:53:53,UTC,True
CALL0000214,VND0000005,UTC,2026-01-30 16:23:55,Asia/Kolkata,True
CALL0000215,VND0000004,UTC,2026-01-10 06:00:44,UTC,False
CALL0000216,VND0000011,Asia/Dubai,2026-02-25 11:07:05,UTC,True
CALL0000217,VND0000004,UTC,2026-05-06 07:33:18,UTC,False
CALL0000218,VND0000012,Asia/Dubai,2026-02-26 00:15:46,UTC,True
CALL0000219,VND0000007,UTC,2026-02-26 20:06:55,UTC,False
CALL0000220,VND0000002,UTC,2026-06-08 08:32:48,UTC,False
CALL0000221,VND0000012,Asia/Dubai,2026-03-11 22:59:34,UTC,True
CALL0000222,VND0000001,UTC,2026-05-02 23:06:45,Asia/Kolkata,True
CALL0000223,VND0000004,Asia/Dubai,2026-05-12 19:04:33,UTC,True
CALL0000224,VND0000009,Asia/Kolkata,2026-03-30 12:05:04,Asia/Kolkata,False
CALL0000225,VND0000003,UTC,2026-06-19 07:42:13,UTC,False
CALL0000226,VND0000015,Asia/Dubai,2026-01-09 11:36:06,Asia/Kolkata,True
CALL0000227,VND0000005,UTC,2026-07-18 16:23:34,Asia/Kolkata,True
CALL0000228,VND0000005,UTC,2026-04-30 18:13:49,Asia/Kolkata,True
CALL0000229,VND0000013,Asia/Dubai,2026-06-06 14:47:06,Asia/Kolkata,True
CALL0000230,VND0000007,UTC,2026-07-29 03:37:47,UTC,False
CALL0000231,VND0000015,UTC,2026-02-21 05:44:16,Asia/Kolkata,True
CALL0000232,VND0000008,Asia/Dubai,2026-04-26 02:54:55,Asia/Kolkata,True
CALL0000233,VND0000012,Asia/Dubai,2026-05-24 19:55:50,UTC,True
CALL0000234,VND0000015,UTC,2026-04-28 03:07:57,Asia/Kolkata,True
CALL0000235,VND0000009,Asia/Kolkata,2026-06-05 03:27:34,Asia/Kolkata,False
CALL0000236,VND0000001,Asia/Kolkata,2026-07-29 22:14:38,Asia/Kolkata,False
CALL0000237,VND0000001,UTC,2026-01-03 06:41:43,Asia/Kolkata,True
CALL0000238,VND0000014,Asia/Kolkata,2026-05-11 01:59:31,Asia/Kolkata,False
CALL0000239,VND0000007,UTC,2026-05-25 21:39:52,UTC,False
CALL0000240,VND0000012,UTC,2026-01-24 11:49:42,UTC,False
CALL0000241,VND0000014,Asia/Kolkata,2026-02-17 19:33:35,Asia/Kolkata,False
CALL0000242,VND0000015,Asia/Dubai,2026-05-16 05:35:57,Asia/Kolkata,True
CALL0000243,VND0000007,UTC,2026-07-03 08:47:21,UTC,False
CALL0000244,VND0000003,Asia/Kolkata,2026-01-27 20:07:19,UTC,True
CALL0000245,VND0000014,Asia/Dubai,2026-06-02 22:52:16,Asia/Kolkata,True
CALL0000246,VND0000004,UTC,2026-05-10 16:08:19,UTC,False
CALL0000247,VND0000015,UTC,2026-07-15 01:58:24,Asia/Kolkata,True
CALL0000248,VND0000010,Asia/Kolkata,2026-05-08 04:35:34,UTC,True
CALL0000249,VND0000011,Asia/Kolkata,2026-07-15 21:12:39,UTC,True
CALL0000250,VND0000015,Asia/Kolkata,2026-06-22 19:05:20,Asia/Kolkata,False
CALL0000251,VND0000011,UTC,2026-01-24 20:50:17,UTC,False
CALL0000252,VND0000005,Asia/Kolkata,2026-02-08 12:18:38,Asia/Kolkata,False
CALL0000253,VND0000009,UTC,2026-03-13 21:16:30,Asia/Kolkata,True
CALL0000254,VND0000001,Asia/Kolkata,2026-04-16 23:08:34,Asia/Kolkata,False
CALL0000255,VND0000013,UTC,2026-01-05 22:02:35,Asia/Kolkata,True
CALL0000256,VND0000014,Asia/Kolkata,2026-06-29 19:10:51,Asia/Kolkata,False
CALL0000257,VND0000011,Asia/Kolkata,2026-06-02 22:28:48,UTC,True
CALL0000258,VND0000005,Asia/Dubai,2026-06-18 23:56:27,Asia/Kolkata,True
CALL0000259,VND0000011,UTC,2026-05-18 15:56:45,UTC,False
CALL0000260,VND0000014,UTC,2026-04-19 06:54:26,Asia/Kolkata,True
CALL0000261,VND0000005,UTC,2026-04-30 19:08:44,Asia/Kolkata,True
CALL0000262,VND0000012,Asia/Kolkata,2026-02-13 11:03:10,UTC,True
CALL0000263,VND0000003,Asia/Kolkata,2026-02-04 21:03:25,UTC,True
CALL0000264,VND0000011,Asia/Dubai,2026-06-03 02:27:43,UTC,True
CALL0000265,VND0000009,Asia/Kolkata,2026-02-08 11:00:41,Asia/Kolkata,False
CALL0000266,VND0000007,UTC,2026-03-24 09:46:33,UTC,False
CALL0000267,VND0000005,Asia/Kolkata,2026-06-18 00:42:13,Asia/Kolkata,False
CALL0000268,VND0000014,Asia/Dubai,2026-03-18 03:21:58,Asia/Kolkata,True
CALL0000269,VND0000011,UTC,2026-03-09 06:12:20,UTC,False
CALL0000270,VND0000008,Asia/Dubai,2026-03-19 02:53:19,Asia/Kolkata,True
CALL0000271,VND0000001,UTC,2026-04-21 01:45:56,Asia/Kolkata,True
CALL0000272,VND0000008,Asia/Dubai,2026-04-26 17:00:13,Asia/Kolkata,True
CALL0000273,VND0000014,UTC,2026-03-29 04:40:42,Asia/Kolkata,True
CALL0000274,VND0000001,Asia/Dubai,2026-06-02 11:44:49,Asia/Kolkata,True
CALL0000275,VND0000010,UTC,2026-04-05 08:06:18,UTC,False
CALL0000276,VND0000008,Asia/Dubai,2026-03-02 02:36:39,Asia/Kolkata,True
CALL0000277,VND0000011,Asia/Dubai,2026-03-18 18:54:30,UTC,True
CALL0000278,VND0000012,Asia/Dubai,2026-03-15 06:58:12,UTC,True
CALL0000279,VND0000003,Asia/Kolkata,2026-01-20 01:09:03,UTC,True
CALL0000280,VND0000004,UTC,2026-01-05 15:54:55,UTC,False
CALL0000281,VND0000015,UTC,2026-06-20 11:23:48,Asia/Kolkata,True
CALL0000282,VND0000011,Asia/Kolkata,2026-04-28 21:32:29,UTC,True
CALL0000283,VND0000003,Asia/Kolkata,2026-01-02 15:22:03,UTC,True
CALL0000284,VND0000010,UTC,2026-03-08 00:13:53,UTC,False
CALL0000285,VND0000009,UTC,2026-01-02 09:58:17,Asia/Kolkata,True
CALL0000286,VND0000011,UTC,2026-04-14 21:16:30,UTC,False
CALL0000287,VND0000003,UTC,2026-03-17 02:00:05,UTC,False
CALL0000288,VND0000003,Asia/Dubai,2026-08-01 09:40:01,UTC,True
CALL0000289,VND0000004,Asia/Dubai,2026-02-15 02:00:17,UTC,True
CALL0000290,VND0000013,Asia/Dubai,2026-05-10 12:13:11,Asia/Kolkata,True
CALL0000291,VND0000005,Asia/Kolkata,2026-02-23 13:38:11,Asia/Kolkata,False
CALL0000292,VND0000003,Asia/Dubai,2026-06-11 21:48:15,UTC,True
CALL0000293,VND0000010,UTC,2026-01-30 14:31:29,UTC,False
CALL0000294,VND0000005,Asia/Kolkata,2026-06-06 21:33:23,Asia/Kolkata,False
CALL0000295,VND0000009,Asia/Kolkata,2026-06-05 00:10:00,Asia/Kolkata,False
CALL0000296,VND0000010,UTC,2026-06-01 21:26:07,UTC,False
CALL0000297,VND0000008,Asia/Kolkata,2026-02-09 12:41:10,Asia/Kolkata,False
CALL0000298,VND0000010,Asia/Dubai,2026-06-16 17:05:04,UTC,True
CALL0000299,VND0000011,Asia/Kolkata,2026-07-04 01:35:49,UTC,True
CALL0000300,VND0000001,Asia/Kolkata,2026-03-27 00:05:07,Asia/Kolkata,False
CALL0000301,VND0000001,UTC,2026-07-07 19:21:28,Asia/Kolkata,True
CALL0000302,VND0000013,UTC,2026-04-26 05:30:48,Asia/Kolkata,True
CALL0000303,VND0000012,UTC,2026-02-25 05:07:08,UTC,False
CALL0000304,VND0000010,UTC,2026-04-28 21:11:05,UTC,False
CALL0000305,VND0000014,UTC,2026-04-04 22:01:43,Asia/Kolkata,True
CALL0000306,VND0000004,UTC,2026-01-21 03:18:47,UTC,False
CALL0000307,VND0000007,UTC,2026-01-13 08:55:51,UTC,False
CALL0000308,VND0000012,UTC,2026-05-04 04:12:38,UTC,False
CALL0000309,VND0000008,Asia/Kolkata,2026-03-10 15:51:27,Asia/Kolkata,False
CALL0000310,VND0000001,UTC,2026-04-04 02:10:31,Asia/Kolkata,True
CALL0000311,VND0000003,Asia/Kolkata,2026-05-02 08:02:33,UTC,True
CALL0000312,VND0000005,UTC,2026-07-24 08:54:56,Asia/Kolkata,True
CALL0000313,VND0000004,Asia/Dubai,2026-07-17 11:21:09,UTC,True
CALL0000314,VND0000014,Asia/Dubai,2026-04-16 14:54:22,Asia/Kolkata,True
CALL0000315,VND0000008,Asia/Dubai,2026-01-15 23:55:13,Asia/Kolkata,True
CALL0000316,VND0000013,Asia/Dubai,2026-01-23 03:16:23,Asia/Kolkata,True
CALL0000317,VND0000008,Asia/Dubai,2026-05-10 06:03:54,Asia/Kolkata,True
CALL0000318,VND0000012,Asia/Dubai,2026-01-10 20:20:26,UTC,True
CALL0000319,VND0000001,Asia/Kolkata,2026-07-24 01:38:10,Asia/Kolkata,False
CALL0000320,VND0000011,UTC,2026-03-13 21:24:23,UTC,False
CALL0000321,VND0000011,UTC,2026-03-04 04:47:13,UTC,False
CALL0000322,VND0000015,Asia/Kolkata,2026-01-12 19:24:51,Asia/Kolkata,False
CALL0000323,VND0000011,UTC,2026-01-28 13:48:24,UTC,False
CALL0000324,VND0000007,UTC,2026-03-08 04:52:40,UTC,False
CALL0000325,VND0000007,Asia/Dubai,2026-04-30 19:28:31,UTC,True
CALL0000326,VND0000003,Asia/Dubai,2026-04-20 19:01:58,UTC,True
CALL0000327,VND0000010,Asia/Dubai,2026-01-06 09:53:14,UTC,True
CALL0000328,VND0000007,UTC,2026-05-13 07:01:15,UTC,False
CALL0000329,VND0000001,Asia/Kolkata,2026-01-02 14:45:13,Asia/Kolkata,False
CALL0000330,VND0000003,Asia/Kolkata,2026-01-26 21:37:52,UTC,True
