month,state,targeted_accounts,paying_accounts,cash,principal,yield
2026-03,,533,33,2701676.65,221639140.69,0.012189528625626436
2026-04,Delhi,530,33,2666284.43,205504040.06,0.012974365025726688
2026-04,Haryana,497,21,1571353.04,196121818.32,0.00801212763302102
2026-04,Karnataka,476,25,1643516.77,188019842.45,0.008741187890512458
2026-04,Maharashtra,1000,57,4276123.07,404003767.58,0.010584364338021306
2026-04,Odisha,545,32,2463210.9,219024167.46,0.011246297285663016
2026-04,Rajasthan,487,30,2747285.48,198674330.03,0.013828084783701837
2026-04,Tamil Nadu,494,27,1697257.72,191685852.5,0.008854371346993383
2026-04,Telangana,509,24,1628623.34,193161458.46,0.008431409417719096
2026-04,West Bengal,473,26,2056050.23,188547828.37,0.010904661420789611
2026-04,,574,32,2333777.45,230893504.28,0.010107592490648305
2026-05,Delhi,570,28,2151716.43,221413527.38,0.009718089294097764
2026-05,Haryana,494,31,2917562.9,195654840.57,0.014911784914190125
2026-05,Karnataka,506,26,2212056.18,208167303.42,0.01062633825609461
2026-05,Maharashtra,1047,52,3212482.66,421480626.24,0.007621898754062172
2026-05,Odisha,549,33,2513725.25,225391987.48,0.01115268239170682
2026-05,Rajasthan,509,25,2199979.3,207075254.74,0.010624056953411717
2026-05,Tamil Nadu,506,39,2873075.84,201060121.76,0.014289635432676761
2026-05,Telangana,581,22,1208955.28,233411833.58,0.005179494378915628
2026-05,West Bengal,483,31,1948469.95,201583563.5,0.009665817570488578
2026-05,,555,36,2999986.07,223226917.99,0.013439177035694196
2026-06,Delhi,502,31,2756266.65,207991496.14000002,0.013251823757951836
2026-06,Haryana,467,25,1976488.9200000002,191258172.82,0.010334140972161988
2026-06,Karnataka,473,25,1915309.18,191967435.54,0.009977260854750073
2026-06,Maharashtra,955,45,3662886.39,383158374.87,0.009559718983678129
2026-06,Odisha,489,38,3072573.08,205817672.88,0.014928616367125258
2026-06,Rajasthan,497,24,1948177.6300000001,205538454.48,0.00947840945349508
2026-06,Tamil Nadu,502,32,2416717.3,190202617.67,0.012706014930840673
2026-06,Telangana,540,37,2331103.32,210586105.95,0.01106959696834643
2026-06,West Bengal,535,23,1436220.44,207963765.49,0.00690610903594675
2026-06,,575,29,2289740.63,238689857.45,0.009592953192322584
2026-07,Delhi,520,26,1895117.35,208529192.68,0.009088019406990973
2026-07,Haryana,491,35,2671386.02,195952954.93,0.013632792733104205
2026-07,Karnataka,491,32,2723492.92,192335544.78,0.014160112334489315
2026-07,Maharashtra,985,55,4570247.72,402052551.01,0.011367289446414498
2026-07,Odisha,518,25,1996597.49,216354918.68,0.009228343419143938
2026-07,Rajasthan,533,34,2127555.8,218358785.31,0.009743394555797457
2026-07,Tamil Nadu,517,29,2382200.79,201630394.15,0.011814690935076963
2026-07,Telangana,514,26,2036764.93,210320869.4,0.009684083827774439
2026-07,West Bengal,510,40,3113648.08,198872722.43,0.015656486429887106
2026-07,,587,46,3580519.55,229257521.92,0.015617893450184947
2026-08,Delhi,156,0,0.0,74490164.65,0.0
2026-08,Haryana,132,3,203959.13999999998,49501185.08,0.004120288022809494
2026-08,Karnataka,133,0,0.0,51433327.47,0.0
2026-08,Maharashtra,251,3,63507.92,96765012.77,0.0006563107695851958
2026-08,Odisha,155,2,175760.9,60649196.24,0.002897992238915778
2026-08,Rajasthan,141,1,70339.52,53455912.79,0.0013158417157018115
2026-08,Tamil Nadu,158,0,0.0,65205848.6,0.0
2026-08,Telangana,138,0,0.0,51835921.19,0.0
2026-08,West Bengal,150,3,202564.98,60983083.63,0.003321658531225047
2026-08,,152,6,544097.31,62552930.26,0.008698190600160065
