payment_id,account_id,borrower_id,event_at,payment_reference,amount,payment_status,payment_method,provider_id,audited_recovery,rejection_reason
PAYMENT0006492,ACC0011777,BRW0002314,2026-01-01 14:25:15,TXN0000066934,82602.18,REVERSED,CASH,VND0000001,0,NON_SUCCESS_STATUS
PAYMENT0020219,ACC0028765,BRW0000250,2026-01-01 14:35:37,TXN0000012065,114380.52,PENDING,NACH,VND0000012,0,NON_SUCCESS_STATUS
PAYMENT0016884,ACC0003970,BRW0002609,2026-01-01 14:43:51,TXN0000045766,105491.88,SUCCESS,CARD,VND0000012,0,AMBIGUOUS_REFERENCE
PAYMENT0002987,ACC0000034,BRW0010940,2026-01-01 15:07:05,TXN0000012195,82513.7,PENDING,UPI,VND0000015,0,NON_SUCCESS_STATUS
PAYMENT0024402,ACC0003283,BRW0001189,2026-01-01 15:09:19,TXN0000008132,43275.64,PENDING,CARD,VND0000014,0,NON_SUCCESS_STATUS
PAYMENT0009619,ACC0027868,BRW0005428,2026-01-01 15:25:12,TXN0000017934,49811.62,REVERSED,CARD,VND0000008,0,NON_SUCCESS_STATUS
PAYMENT0019350,ACC0009612,BRW0009568,2026-01-01 15:27:46,TXN0000026279,126622.21,SUCCESS,NETBANKING,VND0000009,0,AMBIGUOUS_REFERENCE
PAYMENT0011614,ACC0003825,BRW0004986,2026-01-01 15:42:05,TXN0000000466,35186.17,PENDING,CARD,VND0000010,0,NON_SUCCESS_STATUS
PAYMENT0020616,ACC0002189,BRW0010188,2026-01-01 16:38:29,TXN0000063203,69189.76,SUCCESS,CARD,VND0000015,0,AMBIGUOUS_REFERENCE
PAYMENT0007395,ACC0025132,BRW0007840,2026-01-01 16:45:11,TXN0000058512,148373.0,SUCCESS,CASH,VND0000005,0,AMBIGUOUS_REFERENCE
PAYMENT0015771,ACC0007355,BRW0003754,2026-01-01 17:02:46,TXN0000019860,12467.81,PENDING,UPI,VND0000014,0,NON_SUCCESS_STATUS
PAYMENT0004552,ACC0012269,BRW0005253,2026-01-01 18:07:46,TXN0000008542,73918.89,SUCCESS,NACH,VND0000009,0,AMBIGUOUS_REFERENCE
PAYMENT0009895,ACC0010735,BRW0002358,2026-01-01 18:22:46,TXN0000067352,23318.77,REVERSED,NACH,VND0000010,0,NON_SUCCESS_STATUS
PAYMENT0008074,ACC0003864,BRW0005797,2026-01-01 18:56:32,TXN0000052549,131956.56,SUCCESS,UPI,VND0000010,0,AMBIGUOUS_REFERENCE
PAYMENT0007061,ACC0019278,BRW0005088,2026-01-01 18:57:23,TXN0000061703,3687.72,SUCCESS,CASH,VND0000006,0,AMBIGUOUS_REFERENCE
PAYMENT0016626,ACC0020009,BRW0007898,2026-01-01 19:04:04,TXN0000030250,21653.77,SUCCESS,CARD,VND0000011,0,AMBIGUOUS_REFERENCE
PAYMENT0024851,ACC0019391,BRW0007757,2026-01-01 20:05:54,TXN0000056604,33798.46,PENDING,NACH,VND0000010,0,NON_SUCCESS_STATUS
PAYMENT0009653,ACC0004758,BRW0007409,2026-01-01 20:28:50,TXN0000050600,127189.82,SUCCESS,UPI,VND0000013,0,AMBIGUOUS_REFERENCE
PAYMENT0000403,ACC0011163,BRW0001366,2026-01-01 20:41:20,TXN0000068179,73276.46,PENDING,CARD,VND0000009,0,NON_SUCCESS_STATUS
PAYMENT0019320,ACC0008040,BRW0001344,2026-01-01 22:46:49,TXN0000014157,149775.96,SUCCESS,CASH,VND0000011,0,AMBIGUOUS_REFERENCE
PAYMENT0000901,ACC0020644,BRW0007740,2026-01-01 22:49:03,TXN0000065011,76608.61,SUCCESS,NETBANKING,VND0000011,0,AMBIGUOUS_REFERENCE
PAYMENT0015518,ACC0026001,BRW0000332,2026-01-01 23:13:27,TXN0000021501,45156.64,PENDING,CASH,VND0000009,0,NON_SUCCESS_STATUS
PAYMENT0003006,ACC0015546,BRW0003123,2026-01-01 23:18:11,TXN0000064093,121985.86,FAILED,NETBANKING,VND0000001,0,NON_SUCCESS_STATUS
PAYMENT0024659,ACC0011340,BRW0010704,2026-01-01 23:18:50,TXN0000020429,144100.35,SUCCESS,CARD,VND0000007,0,AMBIGUOUS_REFERENCE
PAYMENT0019534,ACC0014793,BRW0003837,2026-01-01 23:38:35,TXN0000017738,72071.56,SUCCESS,CARD,VND0000010,0,AMBIGUOUS_REFERENCE
PAYMENT0020526,ACC0008936,BRW0002857,2026-01-01 23:45:18,TXN0000063842,99325.2,FAILED,CARD,VND0000011,0,NON_SUCCESS_STATUS
PAYMENT0010158,ACC0006384,BRW0002859,2026-01-02 00:32:23,TXN0000019011,42260.78,SUCCESS,NACH,VND0000002,0,AMBIGUOUS_REFERENCE
PAYMENT0018811,ACC0027297,BRW0004745,2026-01-02 00:48:07,TXN0000049516,123915.33,SUCCESS,NETBANKING,VND0000009,0,AMBIGUOUS_REFERENCE
PAYMENT0008466,ACC0014618,BRW0008509,2026-01-02 01:20:41,TXN0000045785,144904.1,PENDING,NACH,VND0000012,0,NON_SUCCESS_STATUS
PAYMENT0013242,ACC0001064,BRW0004851,2026-01-02 02:30:32,TXN0000034319,105429.77,SUCCESS,NETBANKING,VND0000003,0,AMBIGUOUS_REFERENCE
PAYMENT0022150,ACC0012168,BRW0010851,2026-01-02 02:34:46,TXN0000056931,12041.56,SUCCESS,CARD,VND0000015,0,AMBIGUOUS_REFERENCE
PAYMENT0006082,ACC0012531,BRW0007174,2026-01-02 02:44:36,TXN0000058941,23954.4,PENDING,CARD,VND0000011,0,NON_SUCCESS_STATUS
PAYMENT0021705,ACC0017568,BRW0009623,2026-01-02 03:37:41,TXN0000049976,40289.55,PENDING,UPI,VND0000001,0,NON_SUCCESS_STATUS
PAYMENT0002263,ACC0023757,BRW0005458,2026-01-02 03:51:36,TXN0000022061,26178.37,PENDING,CASH,VND0000007,0,NON_SUCCESS_STATUS
PAYMENT0008337,ACC0018422,BRW0006365,2026-01-02 04:27:24,,46766.62,FAILED,CARD,VND0000014,0,NON_SUCCESS_STATUS
PAYMENT0000964,ACC0002560,BRW0007222,2026-01-02 04:34:38,TXN0000013129,69794.43,SUCCESS,CASH,VND0000015,0,AMBIGUOUS_REFERENCE
PAYMENT0009731,ACC0024868,BRW0009456,2026-01-02 04:56:51,TXN0000007023,2175.21,SUCCESS,NACH,VND0000006,0,AMBIGUOUS_REFERENCE
PAYMENT0005848,ACC0028872,BRW0009731,2026-01-02 05:04:07,TXN0000003576,35176.18,SUCCESS,CARD,VND0000008,0,AMBIGUOUS_REFERENCE
PAYMENT0008957,ACC0012859,BRW0006583,2026-01-02 05:14:42,TXN0000010603,131174.05,FAILED,CASH,VND0000009,0,NON_SUCCESS_STATUS
PAYMENT0016112,ACC0019780,BRW0007095,2026-01-02 05:21:25,TXN0000005280,111785.85,SUCCESS,NACH,VND0000002,0,AMBIGUOUS_REFERENCE
PAYMENT0022608,ACC0011769,BRW0009289,2026-01-02 05:40:54,TXN0000004856,16158.5,SUCCESS,UPI,VND0000009,0,AMBIGUOUS_REFERENCE
PAYMENT0019362,ACC0024625,BRW0003627,2026-01-02 05:47:27,TXN0000069748,77600.28,FAILED,CASH,VND0000002,0,NON_SUCCESS_STATUS
PAYMENT0000924,ACC0001038,BRW0011233,2026-01-02 06:09:06,TXN0000013455,2295.13,FAILED,CARD,VND0000005,0,NON_SUCCESS_STATUS
PAYMENT0012553,ACC0016620,BRW0000328,2026-01-02 07:04:10,TXN0000032546,17752.04,FAILED,CASH,VND0000015,0,NON_SUCCESS_STATUS
PAYMENT0014732,ACC0015439,BRW0000180,2026-01-02 07:14:03,TXN0000040045,73470.48,SUCCESS,CASH,VND0000002,0,AMBIGUOUS_REFERENCE
PAYMENT0006665,ACC0027551,BRW0004797,2026-01-02 07:28:11,TXN0000051009,24041.31,REVERSED,CARD,VND0000009,0,NON_SUCCESS_STATUS
PAYMENT0001480,ACC0007370,BRW0000721,2026-01-02 07:41:13,TXN0000023957,147158.67,SUCCESS,CARD,VND0000002,0,AMBIGUOUS_REFERENCE
PAYMENT0021038,ACC0023943,BRW0009242,2026-01-02 07:41:37,TXN0000045753,82748.63,SUCCESS,UPI,VND0000002,0,AMBIGUOUS_REFERENCE
PAYMENT0002926,ACC0014847,BRW0003260,2026-01-02 08:42:35,TXN0000017398,30760.52,REVERSED,NACH,VND0000011,0,NON_SUCCESS_STATUS
PAYMENT0003653,ACC0010013,BRW0006747,2026-01-02 09:53:08,TXN0000030537,54928.67,SUCCESS,UPI,VND0000004,0,AMBIGUOUS_REFERENCE
PAYMENT0023296,ACC0004469,BRW0002074,2026-01-02 10:12:05,TXN0000028477,66823.68,SUCCESS,NACH,VND0000007,0,AMBIGUOUS_REFERENCE
PAYMENT0019697,ACC0012605,BRW0000945,2026-01-02 10:13:09,TXN0000006751,74910.69,PENDING,UPI,VND0000011,0,NON_SUCCESS_STATUS
PAYMENT0008983,ACC0027765,BRW0000059,2026-01-02 10:42:54,TXN0000045911,102727.85,FAILED,NETBANKING,VND0000002,0,NON_SUCCESS_STATUS
PAYMENT0000596,ACC0006229,BRW0004328,2026-01-02 10:50:22,TXN0000018381,135430.39,PENDING,UPI,VND0000001,0,NON_SUCCESS_STATUS
PAYMENT0001108,ACC0005040,BRW0009969,2026-01-02 11:28:53,TXN0000056820,149416.86,FAILED,NETBANKING,VND0000003,0,NON_SUCCESS_STATUS
PAYMENT0001766,ACC0015065,BRW0005487,2026-01-02 11:42:07,TXN0000067873,79133.85,SUCCESS,CARD,VND0000012,0,AMBIGUOUS_REFERENCE
PAYMENT0022352,ACC0000708,BRW0010178,2026-01-02 11:56:59,TXN0000032242,119365.23,FAILED,NACH,VND0000004,0,NON_SUCCESS_STATUS
PAYMENT0001689,ACC0027528,BRW0006531,2026-01-02 12:00:50,TXN0000063604,8640.81,FAILED,UPI,VND0000004,0,NON_SUCCESS_STATUS
PAYMENT0009506,ACC0013469,BRW0001942,2026-01-02 12:27:43,TXN0000035039,51030.34,PENDING,CASH,VND0000009,0,NON_SUCCESS_STATUS
PAYMENT0018100,ACC0000892,BRW0007712,2026-01-02 12:51:48,TXN0000056489,63290.96,SUCCESS,CARD,VND0000006,0,AMBIGUOUS_REFERENCE
PAYMENT0013319,ACC0006962,BRW0006928,2026-01-02 13:11:29,TXN0000012550,119925.7,REVERSED,UPI,VND0000004,0,NON_SUCCESS_STATUS
PAYMENT0011461,ACC0023114,BRW0000098,2026-01-02 13:31:55,TXN0000030306,53215.01,SUCCESS,NETBANKING,VND0000010,0,AMBIGUOUS_REFERENCE
PAYMENT0020301,ACC0008742,BRW0004635,2026-01-02 13:47:19,TXN0000009313,7599.9,FAILED,CARD,VND0000005,0,NON_SUCCESS_STATUS
PAYMENT0022913,ACC0025320,BRW0008750,2026-01-02 14:34:45,TXN0000044312,125333.52,SUCCESS,NETBANKING,VND0000007,0,AMBIGUOUS_REFERENCE
PAYMENT0019829,ACC0008365,BRW0003660,2026-01-02 15:37:42,TXN0000039904,563.8,SUCCESS,NACH,VND0000002,0,AMBIGUOUS_REFERENCE
PAYMENT0015074,ACC0015224,BRW0003199,2026-01-02 16:12:51,TXN0000049266,115555.44,SUCCESS,UPI,VND0000004,0,AMBIGUOUS_REFERENCE
PAYMENT0020531,ACC0028684,BRW0002378,2026-01-02 16:37:43,TXN0000002752,51939.89,FAILED,CASH,VND0000002,0,NON_SUCCESS_STATUS
PAYMENT0003786,ACC0006168,BRW0003133,2026-01-02 16:39:46,TXN0000048174,47014.13,SUCCESS,NACH,VND0000007,0,AMBIGUOUS_REFERENCE
PAYMENT0007234,ACC0007675,BRW0007148,2026-01-02 16:53:15,TXN0000019168,18950.15,FAILED,CARD,VND0000008,0,NON_SUCCESS_STATUS
PAYMENT0013169,ACC0024709,BRW0001478,2026-01-02 16:59:28,TXN0000056730,86111.92,SUCCESS,CARD,VND0000014,0,AMBIGUOUS_REFERENCE
PAYMENT0002305,ACC0003556,BRW0005159,2026-01-02 17:11:24,TXN0000058815,105149.82,FAILED,CARD,VND0000001,0,NON_SUCCESS_STATUS
PAYMENT0005427,ACC0012091,BRW0001001,2026-01-02 17:14:40,TXN0000017341,99772.51,FAILED,UPI,VND0000001,0,NON_SUCCESS_STATUS
PAYMENT0004249,ACC0025736,BRW0004403,2026-01-02 17:48:45,TXN0000030028,91194.22,SUCCESS,NACH,VND0000014,0,AMBIGUOUS_REFERENCE
PAYMENT0020291,ACC0018368,BRW0005695,2026-01-02 18:50:04,TXN0000015256,55574.52,SUCCESS,NETBANKING,VND0000004,0,AMBIGUOUS_REFERENCE
PAYMENT0004432,ACC0010952,BRW0010030,2026-01-02 18:50:47,TXN0000020861,57959.29,SUCCESS,UPI,VND0000015,0,AMBIGUOUS_REFERENCE
PAYMENT0021751,ACC0003910,BRW0010760,2026-01-02 19:25:36,TXN0000037036,67892.75,PENDING,CARD,VND0000014,0,NON_SUCCESS_STATUS
PAYMENT0015269,ACC0028750,BRW0007754,2026-01-02 19:33:21,TXN0000011704,80096.7,SUCCESS,NACH,VND0000008,0,AMBIGUOUS_REFERENCE
PAYMENT0023636,ACC0019169,BRW0002118,2026-01-02 20:28:11,TXN0000053389,125528.57,SUCCESS,CASH,VND0000005,0,AMBIGUOUS_REFERENCE
PAYMENT0017255,ACC0005342,BRW0010577,2026-01-02 20:41:27,TXN0000036918,33602.34,FAILED,CARD,VND0000003,0,NON_SUCCESS_STATUS
PAYMENT0018821,ACC0004190,BRW0001586,2026-01-02 20:45:03,TXN0000019138,101976.06,SUCCESS,UPI,VND0000014,0,AMBIGUOUS_REFERENCE
PAYMENT0020742,ACC0016656,BRW0006127,2026-01-02 21:15:49,TXN0000003815,108578.26,SUCCESS,UPI,VND0000006,0,AMBIGUOUS_REFERENCE
PAYMENT0018565,ACC0028141,BRW0007286,2026-01-02 21:49:20,TXN0000050290,36707.51,PENDING,CASH,VND0000003,0,NON_SUCCESS_STATUS
PAYMENT0000620,ACC0029301,BRW0005684,2026-01-02 22:46:02,TXN0000017054,53188.57,SUCCESS,NETBANKING,VND0000015,0,AMBIGUOUS_REFERENCE
PAYMENT0020829,ACC0012959,BRW0006407,2026-01-02 23:33:17,TXN0000013961,106809.02,SUCCESS,NACH,VND0000002,0,AMBIGUOUS_REFERENCE
PAYMENT0003622,ACC0028631,BRW0004882,2026-01-03 00:35:45,TXN0000043981,129121.76,SUCCESS,NACH,VND0000004,0,AMBIGUOUS_REFERENCE
PAYMENT0005033,ACC0009507,BRW0001218,2026-01-03 00:59:29,TXN0000054260,73857.34,FAILED,NETBANKING,VND0000015,0,NON_SUCCESS_STATUS
PAYMENT0000424,ACC0014875,BRW0000331,2026-01-03 01:09:21,TXN0000027463,35440.54,PENDING,UPI,VND0000011,0,NON_SUCCESS_STATUS
PAYMENT0009045,ACC0007773,BRW0000820,2026-01-03 01:15:26,TXN0000040189,65159.89,REVERSED,CARD,VND0000003,0,NON_SUCCESS_STATUS
PAYMENT0016424,ACC0026728,BRW0003188,2026-01-03 01:41:56,TXN0000060999,111221.21,SUCCESS,NETBANKING,VND0000008,0,AMBIGUOUS_REFERENCE
PAYMENT0008998,ACC0019147,BRW0007413,2026-01-03 01:55:42,TXN0000064310,125662.98,SUCCESS,CARD,VND0000002,0,AMBIGUOUS_REFERENCE
PAYMENT0001714,ACC0025848,BRW0010350,2026-01-03 01:56:06,TXN0000025303,32876.35,FAILED,NACH,VND0000005,0,NON_SUCCESS_STATUS
PAYMENT0002676,ACC0028723,BRW0004191,2026-01-03 02:13:57,TXN0000052157,141998.21,PENDING,CASH,VND0000007,0,NON_SUCCESS_STATUS
PAYMENT0021891,ACC0026007,BRW0002924,2026-01-03 02:28:26,TXN0000001718,75919.06,FAILED,CASH,VND0000007,0,NON_SUCCESS_STATUS
PAYMENT0016858,ACC0023266,BRW0003505,2026-01-03 02:53:32,TXN0000043345,134963.44,PENDING,UPI,VND0000015,0,NON_SUCCESS_STATUS
PAYMENT0013233,ACC0013450,BRW0000320,2026-01-03 03:34:30,TXN0000015587,13734.06,FAILED,CASH,VND0000001,0,NON_SUCCESS_STATUS
PAYMENT0007190,ACC0005975,BRW0004884,2026-01-03 03:55:33,TXN0000067100,70398.4,SUCCESS,CARD,VND0000001,0,AMBIGUOUS_REFERENCE
PAYMENT0011255,ACC0004166,BRW0009717,2026-01-03 04:10:47,TXN0000024716,1733.82,SUCCESS,NACH,VND0000006,0,AMBIGUOUS_REFERENCE
PAYMENT0005068,ACC0011091,BRW0002894,2026-01-03 04:12:52,,135129.09,REVERSED,UPI,VND0000014,0,NON_SUCCESS_STATUS
PAYMENT0011000,ACC0010866,BRW0007557,2026-01-03 05:00:52,TXN0000026495,106630.75,FAILED,UPI,VND0000008,0,NON_SUCCESS_STATUS
PAYMENT0006007,ACC0003093,BRW0010846,2026-01-03 05:59:33,TXN0000029179,277.88,FAILED,UPI,VND0000010,0,NON_SUCCESS_STATUS
PAYMENT0006092,ACC0021217,BRW0003209,2026-01-03 06:53:22,TXN0000065168,121873.94,SUCCESS,UPI,VND0000015,0,AMBIGUOUS_REFERENCE
PAYMENT0018407,ACC0029933,BRW0005537,2026-01-03 07:20:59,TXN0000056517,45338.85,SUCCESS,CARD,VND0000006,0,AMBIGUOUS_REFERENCE
PAYMENT0013686,ACC0017385,BRW0007674,2026-01-03 07:38:28,TXN0000008394,81141.29,SUCCESS,NETBANKING,VND0000003,0,AMBIGUOUS_REFERENCE
PAYMENT0009935,ACC0015246,BRW0009293,2026-01-03 08:11:44,TXN0000053594,146961.39,SUCCESS,NACH,VND0000008,0,AMBIGUOUS_REFERENCE
PAYMENT0021887,ACC0028304,BRW0001293,2026-01-03 09:08:36,TXN0000051672,46105.83,PENDING,NACH,VND0000007,0,NON_SUCCESS_STATUS
PAYMENT0007940,ACC0004987,BRW0011050,2026-01-03 09:30:43,TXN0000011253,8969.43,SUCCESS,CARD,VND0000004,0,AMBIGUOUS_REFERENCE
PAYMENT0006966,ACC0013994,BRW0001253,2026-01-03 10:19:07,TXN0000023086,147563.81,FAILED,CARD,VND0000008,0,NON_SUCCESS_STATUS
PAYMENT0003446,ACC0000980,BRW0008346,2026-01-03 10:20:29,TXN0000004106,68474.05,PENDING,CASH,VND0000002,0,NON_SUCCESS_STATUS
PAYMENT0024051,ACC0029636,BRW0010528,2026-01-03 10:33:38,TXN0000014521,140758.62,FAILED,CASH,VND0000008,0,NON_SUCCESS_STATUS
PAYMENT0022351,ACC0029204,BRW0004092,2026-01-03 11:20:43,TXN0000025636,72913.73,REVERSED,NACH,VND0000002,0,NON_SUCCESS_STATUS
PAYMENT0015763,ACC0008104,BRW0007893,2026-01-03 11:35:54,TXN0000024664,8136.9,FAILED,NACH,VND0000007,0,NON_SUCCESS_STATUS
PAYMENT0011794,ACC0002111,BRW0006644,2026-01-03 11:58:40,TXN0000019972,58438.08,SUCCESS,CASH,VND0000006,0,AMBIGUOUS_REFERENCE
PAYMENT0015959,ACC0017173,BRW0011446,2026-01-03 12:00:54,TXN0000007674,109413.16,PENDING,NACH,VND0000002,0,NON_SUCCESS_STATUS
PAYMENT0008517,ACC0023277,BRW0003614,2026-01-03 12:19:29,TXN0000066125,31886.37,FAILED,UPI,VND0000008,0,NON_SUCCESS_STATUS
PAYMENT0012058,ACC0023279,BRW0009284,2026-01-03 12:28:32,TXN0000062643,94685.3,SUCCESS,NACH,VND0000008,0,AMBIGUOUS_REFERENCE
PAYMENT0022185,ACC0002992,BRW0005951,2026-01-03 12:51:55,TXN0000020820,78099.41,PENDING,UPI,VND0000007,0,NON_SUCCESS_STATUS
PAYMENT0015205,ACC0016869,BRW0001251,2026-01-03 13:17:11,TXN0000032991,117573.54,REVERSED,CASH,VND0000005,0,NON_SUCCESS_STATUS
PAYMENT0009155,ACC0008141,BRW0010215,2026-01-03 13:19:41,TXN0000002086,129860.18,SUCCESS,CARD,VND0000004,0,AMBIGUOUS_REFERENCE
PAYMENT0005886,ACC0026019,BRW0006449,2026-01-03 13:22:54,TXN0000017271,37471.64,PENDING,CASH,VND0000008,0,NON_SUCCESS_STATUS
PAYMENT0019009,ACC0020863,BRW0004121,2026-01-03 13:43:05,TXN0000051009,107158.64,SUCCESS,CASH,VND0000009,0,AMBIGUOUS_REFERENCE
PAYMENT0020564,ACC0022139,BRW0011354,2026-01-03 14:09:29,TXN0000023717,22627.13,PENDING,CARD,VND0000014,0,NON_SUCCESS_STATUS
PAYMENT0004548,ACC0024794,BRW0002042,2026-01-03 14:47:47,TXN0000029247,60649.24,FAILED,CASH,VND0000006,0,NON_SUCCESS_STATUS
PAYMENT0018559,ACC0020458,BRW0010640,2026-01-03 15:16:21,TXN0000001431,87971.45,PENDING,UPI,VND0000005,0,NON_SUCCESS_STATUS
PAYMENT0023981,ACC0021233,BRW0007435,2026-01-03 16:53:01,TXN0000046359,56546.16,SUCCESS,NETBANKING,VND0000006,0,AMBIGUOUS_REFERENCE
PAYMENT0019577,ACC0024253,BRW0010341,2026-01-03 17:10:41,TXN0000030099,55481.11,FAILED,NACH,VND0000002,0,NON_SUCCESS_STATUS
PAYMENT0024189,ACC0025526,BRW0006468,2026-01-03 17:15:29,TXN0000054511,73738.38,REVERSED,CASH,VND0000013,0,NON_SUCCESS_STATUS
PAYMENT0013101,ACC0008047,BRW0011071,2026-01-03 18:45:53,TXN0000025485,87191.03,FAILED,UPI,VND0000001,0,NON_SUCCESS_STATUS
PAYMENT0003355,ACC0013998,BRW0007634,2026-01-03 19:40:50,TXN0000020738,26591.5,SUCCESS,CASH,VND0000006,0,AMBIGUOUS_REFERENCE
PAYMENT0011756,ACC0013065,BRW0003435,2026-01-03 19:42:08,TXN0000016127,53926.81,FAILED,NACH,VND0000003,0,NON_SUCCESS_STATUS
